,8,,,3,,,7,,,5,,,8
7,56,,7,21,,7,49,,7,35,,7,56

,5,,,7,,,2,,,8,,,2
7,35,,7,49,,7,14,,7,56,,7,14

,8,,,6,,,9,,,9,,,5
7,56,,7,42,,7,63,,7,63,,7,35

,4,,,5,,,3,,,4,,,6
7,28,,7,35,,7,21,,7,28,,7,42

,5,,,6,,,4,,,9,,,1
7,35,,7,42,,7,28,,7,63,,7,7

,3,,,6,,,2,,,7,,,2,,,1,,,5,,,2,,,7
7,21,,7,42,,7,14,,7,49,,7,14,,7,7,,7,35,,7,14,,7,49

,4,,,7,,,9,,,9,,,8,,,5,,,5,,,4,,,6
7,28,,7,49,,7,63,,7,63,,7,56,,7,35,,7,35,,7,28,,7,42

,4,,,2,,,7,,,4,,,2,,,8,,,4,,,7,,,2
7,28,,7,14,,7,49,,7,28,,7,14,,7,56,,7,28,,7,49,,7,14

,8,,,5,,,1,,,3,,,3,,,4,,,4,,,9,,,5
7,56,,7,35,,7,7,,7,21,,7,21,,7,28,,7,28,,7,63,,7,35

,1,,,8,,,5,,,5,,,3,,,4,,,6,,,3,,,7
7,7,,7,56,,7,35,,7,35,,7,21,,7,28,,7,42,,7,21,,7,49

,3,,,1,,,1,,,5,,,4,,,2,,,6,,,4,,,3
7,21,,7,7,,7,7,,7,35,,7,28,,7,14,,7,42,,7,28,,7,21

,6,,,1,,,4,,,5,,,8,,,1,,,9,,,7,,,2
7,42,,7,7,,7,28,,7,35,,7,56,,7,7,,7,63,,7,49,,7,14

,6,,,6,,,5,,,8,,,6,,,2,,,5,,,9,,,4
7,42,,7,42,,7,35,,7,56,,7,42,,7,14,,7,35,,7,63,,7,28

,5,,,4,,,4,,,8,,,9,,,8,,,4,,,5,,,2
7,35,,7,28,,7,28,,7,56,,7,63,,7,56,,7,28,,7,35,,7,14

,3,,,8,,,3,,,1,,,8,,,9,,,2,,,6,,,9
7,21,,7,56,,7,21,,7,7,,7,56,,7,63,,7,14,,7,42,,7,63

